time,humidity,density,windSin,windCos,windGust,windGust2,windGust3,windSpeed,windSpeed2,windSpeed3,power
4/06/2019 18:30,0.89,1.3062577328579075,0.6560590289905073,-0.754709580222772,9.12,83.17439999999999,758.5505279999998,2.98,8.8804,26.463592,4.35
4/06/2019 19:30,0.88,1.3093845784046398,0.6819983600624986,-0.7313537016191705,9.33,87.0489,812.166237,2.97,8.820900000000002,26.198073000000004,14.875
4/06/2019 20:30,0.88,1.3115671121082424,0.7071067811865476,-0.7071067811865475,9.44,89.11359999999999,841.2323839999999,3.02,9.1204,27.543608,47.04166667
4/06/2019 21:30,0.88,1.3102234076305963,0.7313537016191706,-0.6819983600624984,9.41,88.5481,833.237621,3.29,10.8241,35.611289,38.9
4/06/2019 22:30,0.87,1.3041476521978637,0.777145961456971,-0.6293203910498373,9.29,86.30409999999999,801.7650889999998,3.78,14.2884,54.01015199999999,52.01666667
4/06/2019 23:30,0.82,1.29326609938095,0.8660254037844387,-0.4999999999999998,8.33,69.3889,578.009537,4.09,16.728099999999998,68.41792899999999,43.575
5/06/2019 00:30,0.76,1.2830149416226753,0.913545457642601,-0.40673664307580004,7.04,49.5616,348.913664,4.13,17.0569,70.444997,25.29166667
5/06/2019 01:30,0.71,1.2758855360544408,0.8910065241883679,-0.4539904997395467,6.19,38.316100000000006,237.17665900000006,4.1,16.81,68.92099999999998,13.7
5/06/2019 02:30,0.65,1.2683420906557854,0.8480480961564261,-0.5299192642332048,5.35,28.622499999999995,153.13037499999996,4.0,16.0,64.0,10.25
5/06/2019 03:30,0.59,1.2620460872640424,0.7986355100472927,-0.6018150231520484,4.83,23.3289,112.67858700000001,3.94,15.5236,61.162983999999994,5.85
5/06/2019 04:30,0.53,1.2584624094847938,0.777145961456971,-0.6293203910498373,4.65,21.622500000000002,100.54462500000002,3.9,15.209999999999999,59.318999999999996,3.508333333
5/06/2019 05:30,0.52,1.2591320709057883,0.7431448254773942,-0.6691306063588582,4.26,18.147599999999997,77.308776,3.63,13.1769,47.832147,1.658333333
5/06/2019 06:30,0.56,1.2649166993597794,0.7313537016191706,-0.6819983600624984,3.72,13.838400000000002,51.478848000000006,3.2,10.240000000000002,32.76800000000001,0.0
5/06/2019 07:30,0.65,1.2744521705281762,0.7431448254773942,-0.6691306063588582,3.36,11.289599999999998,37.93305599999999,2.82,7.952399999999999,22.425767999999998,7.1
5/06/2019 08:30,0.75,1.2848309574036756,0.766044443118978,-0.6427876096865394,3.04,9.2416,28.094464000000002,2.45,6.002500000000001,14.706125000000004,13.04166667
5/06/2019 09:30,0.8,1.293239466311596,0.777145961456971,-0.6293203910498373,2.85,8.1225,23.149125,2.22,4.928400000000001,10.941048000000002,15.0
